Date,6857.T,8267.T,5201.T,2802.T,6770.T,6113.T,9202.T,8304.T,2502.T,3407.T
2015-03-25,1491.144287109375,1245.447021484375,3301.306396484375,2508.671875,2778.0595703125,952.356201171875,3070.019775390625,3349.428955078125,3428.5146484375,1031.0751953125
2015-03-26,1436.513916015625,1232.0799560546875,3293.01171875,2482.951416015625,2662.1533203125,944.1885375976562,3007.78955078125,3304.470458984375,3455.03759765625,1000.8746948242188
2015-03-27,1371.62744140625,1228.3924560546875,3280.569580078125,2491.26171875,2676.92333984375,945.8407592773438,2953.93212890625,3311.2900390625,3464.7626953125,995.726806640625
2015-03-30,1361.714111328125,1227.9315185546875,3234.948486328125,2547.58740234375,2666.768798828125,954.1013793945312,2995.009765625,3349.17724609375,3429.39892578125,1004.3069458007812
2015-03-31,1368.923828125,1215.947021484375,3268.12744140625,2432.627685546875,2679.69189453125,955.7533569335938,2937.50146484375,3227.93994140625,3371.490478515625,985.8594360351562
2015-04-01,1340.085205078125,1227.470458984375,3205.9169921875,2381.3798828125,2617.845458984375,935.9277954101562,2959.409423828125,3190.05322265625,3392.70849609375,967.4122314453124
2015-04-02,1335.5792236328125,1245.907958984375,3243.243408203125,2444.63134765625,2702.768798828125,946.666748046875,2952.106689453125,3197.631103515625,3465.20458984375,984.1434936523438
2015-04-03,1336.4803466796875,1258.3531494140625,3243.243408203125,2524.04150390625,2758.153564453125,964.8399658203124,2983.14306640625,3197.631103515625,3449.291259765625,994.4397583007812
2015-04-06,1326.5673828125,1256.50927734375,3226.654052734375,2541.5849609375,2742.461181640625,973.1007690429688,2986.79443359375,3182.475830078125,3491.7275390625,981.5692749023438
2015-04-07,1340.085205078125,1250.5174560546875,3230.80126953125,2534.198974609375,2750.76904296875,982.1874389648438,2994.09716796875,3205.20751953125,3493.0537109375,983.2855224609376
2015-04-08,1344.59130859375,1312.7435302734375,3342.78076171875,2563.28515625,2727.6923828125,992.10009765625,3053.431640625,3227.93994140625,3591.187744140625,1005.1647338867188
2015-04-09,1345.492431640625,1330.7200927734375,3342.78076171875,2595.141357421875,2730.46142578125,984.665771484375,3048.866943359375,3288.55859375,3668.988525390625,1003.0199584960938
2015-04-10,1350.899658203125,1404.008544921875,3284.716796875,2568.825439453125,2852.30712890625,984.665771484375,3028.78466796875,3318.867919921875,3657.05224609375,992.2948608398438
2015-04-13,1386.046630859375,1434.430419921875,3268.12744140625,2511.575927734375,2930.76904296875,994.5782470703124,3009.615234375,3273.404296875,3638.04541015625,984.1434936523438
2015-04-14,1383.3431396484375,1465.31298828125,3342.78076171875,2534.659912109375,2944.614990234375,982.1874389648438,3020.5693359375,3273.404296875,3608.42822265625,981.5692749023438
2015-04-15,1365.31884765625,1465.31298828125,3330.338134765625,2485.259765625,2916.92236328125,978.05712890625,3073.513427734375,3303.712890625,3603.123046875,972.1311645507812
2015-04-16,1355.4056396484375,1433.0477294921875,3380.1064453125,2426.163818359375,2847.692138671875,992.10009765625,3055.257080078125,3417.373291015625,3573.948486328125,966.1251220703124
2015-04-17,1302.23486328125,1395.2509765625,3363.516845703125,2347.21533203125,2675.076416015625,959.8837890625,3046.128662109375,3394.6416015625,3577.042724609375,951.538818359375
